"Answer Reply","Customer Question","Product","Version"
"Please confirm your IP details (IP address, subnet mask, and gateway) and share them with me. Try pinging your gateway. Open Command Prompt and run: ping <gateway IP>. Tell me what result you get.If the ping shows “Destination Host Unreachable,” Please check your local connectivity:

Ensure the LAN cable is properly connected.

Try changing the switch port.

Check if the link light on the LAN port is blinking.

Once you check these, update me with what you observe so I can guide you further.","My internet is not working.","Firewall","11"
"Please transfer the call on queue instead of extension. ","after call transfer, the data is not visible to the person who is picking the call through extension. ","IPBX / VoIP","1.1.7"
"We checked the disk space and deleted some logs, and after that it started working fine. ","The mail server panel is not opening, and for some users the panel opens but outgoing mail is not being sent","Mail Server","3.9.0"
"Please connect the direct system to the firewall and then check Request time out error showing or not. Is not so then check local connectivity. Firewall is working fine.","When I checked the connectivity by connecting the system directly to the switch, the request timeout error was being shown.","Firewall","11"
"ping check on on 192.168.1.254
The system getting R.T.O's on  192.168.1.254 while pinging 
so extension is configure on another system
and then extension status got up and working well
","extension is not configuring at the system ","IPBX / VoIP","1.1.7"
"in webmail it's working fine, while we are checking it on outlook there is a error related Task ... Receiving reported error (0x8004060C): “The message store has reached its maximum size.”

This means the PST/OST file is full, and Outlook cannot receive more emails.
so they are checking at there local.","The mails are not send/receive at atul.vashistha@singlaengravures.com","Mail Server","3.9.0"
"open the admin pannel and search for the id bvmusn@bvmschools.com
unblock it if blocked. Then click on the lock button it shows you from which id you got block and why you are blocked 
","The user bvmusn@bvmschools.com is blocked again and again why ?","Mail Server","3.9.0"
"1. check ping with your gateway.
2. after this, check your status at where the extension is configured either in zoiper or microsip
3. if not then configure it.
4. after this open admin pannel and enter the username and password  and choose the campaign.
5. if login successfully then calling will work.","calling is not working ","IPBX / VoIP","1.1.7"
"1. Go to admin panel of your mail server. 
2. Go to Users tab under Mail users.
3. In the last under the Action table check a lock icon with red color
4. click on that lock icon and here you can see unblock user button 
5. click that unblock button 
6. your email id is unblocked now
This error usually occurs when one or more email addresses are entered incorrectly or contain extra spaces, special characters, or formatting issues.
","User's mail id is blocked due to multiple bounce-back massages  ","Mail Server","3.9.0"
"1. Open nebero admin.
2. Go to WAN option.
3. Edit Isp   and fill all information of new ISP. 
4. Update the ISP information set failover and status on. 
5. Restart the nebero. 
6. ISP is configured now.","Add new ISP in Nebero
","Firewall","11"
"If you want to bypass (allow) any IP or full network in the firewall, replace the IP 192.168.4.25 with the IP you want to bypass.

If you want to bypass the entire network, add /24 after the network address.
Example: 192.168.4.0/24

iptables -I FORWARD -s 192.168.4.25  -j ACCEPT
iptables -I FORWARD -d 192.168.4.25  -j ACCEPT
iptables -t nat -I PREROUTING  -d  192.168.4.25  -j ACCEPT
iptables -t nat -I PREROUTING  -s 192.168.4.25  -j ACCEPT","IPTABLES BYPASS RULES – HOW TO USE","Firewall","11"
"1. Go to admin panel of your mail server.
2. Go to mail user tab.
3. Click right side create button.
4. Enter Name and Phone number , Set password  and click create button.
5. Your mail id will be created successfully.","Create new mail Ids ","Mail Server","3.9.0"
"1. Login the firewall server 
2. Go to the ISP Control setting under Settings section.
3. turn off the fail-over for a min. 
4. check again it will show ISP-1 Public ip.
5. again turn on fail-over.
done","User is in ISP-1 but shows on ISP-2 when checking online.","Firewall","12"
"1. Login to the Admin Panel.
2. Open the Campaigns section.
3. Select the campaign created for that agent.
4. Select the Agent inside the campaign and click Save.
5. Now the agent will be able to login successfully.","While agent login, getting error: “Agent is not assigned any campaign.”","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Open the agent’s extension number.
3. Select the Advanced Settings.
4. Go to User record option.
5. Choose recording option accordingly:
        All → Record every call
        Inbound → Record only incoming calls
        Outbound → Record only outgoing calls
        Local → Record only internal extension-to-extension calls
        Disable → No recording
6. Click on Update.","Agent’s calls are not being recorded.","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Go to Dashboard → Extensions Registrations.
3. Check if the agent’s extension is Registered or Not Registered.
If NOT Registered: Re-register the extension with the correct SIP              username & password.
4. If Registered but phone still not working: Restart the IP Phone.
 After reboot, check the registration status again.
 If still not working, re-enter SIP details in the phone and register it again.","IP phone/Soft Phone is not working","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Open the Agent’s Extension Number.
3. Go to Advanced Settings.
4. Under Toll Allow, choose the required call types:
     Local
     Domestic
     International
5. Click  Update.
6. Ask the agent to log out and log in again.
Note: Ensure that the agent is assigned to a campaign before troubleshooting.","Agent is not able to make or receive Local, Domestic, or International calls.","IPBX / VoIP","1.1.7"
"1. Check the bounce back massage of mail .
2. Check mail log of that user .
3. In log clearly mention the reason of mail  blocking ","mail is not send ","Mail Server","3.9.0"
"1. Login to the Admin Panel.
2. Navigate to Reports --> Call Reports.
3. Select the Call Detail Records.
4. Apply filters (Date range, Agent's Extension Number, Call Direction(Local,Inbound,Outbound)).
5. Click on CSV or EXCEL button to download CDR data.","Where to download call reports.","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Navigate to Reports --> Call Reports.
3. Select the Call Detail Records.
4. Apply filters (Date range, Agent's Extension Number, Call Direction(Local,Inbound,Outbound)).
5. Tick the Show Only Missed Calls box.
6. Click on Search missed call data will be shown with all details.","Where to check missed calls","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Navigate to Reports --> Agents Reports.
3. Click on Performance.
4. Apply the Date Range and search.
5. Click on View Button to see more details.
6. Click on CSV or EXCEL Button to Download the data.","where to check call data details Agent wise.","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Navigate to SSL VPN.
3. select Users and click Add User on upper right corner.
4. Fill all required fields like First Name, Username, Email, Phone, Password [Optional (Required for two factor authentication) ] , Select ISP (Public IP)
5. Select Authentication mode First is Two Factor Authentication using TOTP & second is Two Factor Authentication via Email .
6. Click Create button & done VPN File is created now.
7.  Now Click on File icon under ""Actions"" section and download the file.
8. After downloading the file import the file in OpenVPN client Application. (You can download this application from  internet.   
9. Done VPN is connect now . 
Note :- sometime VPN file not connect due to different comp-ration  methods use by OS. to resolve this open the .ovpn file (VPN File) in any text editor and change a field ""comp-lzo no ""  to  ""comp-lzo yes"" . Save the file and again import  that file. Now you connect the VPN and ready to connect your Office Environment.","how to create VPN user ","Firewall","11"
"1. Login to the Admin Panel.
2. Go to:
Advanced Section → Call Routing → Inbound Routes
3. Open the specific Inbound Route.
4. Check the following:
     Application Type: Must be set to IVR.
     Application Data: Ensure the correct IVR is selected.
    Destination Number: Confirm the office number is correct.
5. Next Verify the IVR Configuration:
     Navigate to IVR Section.
    Open the IVR used in the inbound route.
    Double-check:
         The Welcoming audio file is uploaded correctly.
         The  inputs options and the routing are set properly.
     
","IVR  Message Not Playing","IPBX / VoIP","1.1.7"
"1. open the admin pannel.
2. search the option ring group.  
3. open a ring group  in which you want to add the extension.
4. click on the edit  and add extension ,  priorities the extension according to your need at which extension you want to land the call first/last or in between.
5. save the setting after this and all done.","please add a extension in ring group in where strategy is applied as sequence. add extension 937  in sequence.","IPBX / VoIP","1.1.7"
"1: Open the firewall dashboard
2: Go to Settings
3: Open WAN Settings
4: Scroll down and find the Failover option
5: Turn Failover ON
6: On the right side you will see Failover and Status
7: Under Failover IP, select the ISP for failover","How to Set Fail-over on the Firewall","Firewall","11"
"1. Go to user
2. Go to Bulk Client Creation   
3. Give the username of user and also set number from where to to where to create the user 
4. Set the user Password,Policy, Plan, Expiry Date    and save the user 
ALSO THERE IS ANOTHER METHOD
1.There is showing two link 
    Click to download sample Web based users list
     Click to download sample IP based users list
2. Click and download the file 
3. fill the information in sample file 
4. upload the file 
5. user created in bulk","How to create bulk user in nebero","Firewall","11"
"1. Open firewall admin panel.
2. Go to UTM config tab.
3. Select domain list.
4. Click select list.
5. Select whitelist or blacklist.
6. Right side click Add domain.
7. Enter domain, Action, and select policy 
8. Save ","How to whitelist (unblock) and blacklist (block) domain at  nebero","Firewall","11"
"1. Login to the Admin Panel.
2. Go to Profile.
3. Navigate to the Update Password Section.
4. Fill the Existing Old Password.
5. Next Fill out the New Password and Confirm the Password.
6. Click on Update. The password will be updated.","How to change Admin Panel Password","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Go to Profile.
3. Navigate to Active Devices.
4. List of Active Devices Session will be shown.","How to check Admin Login History.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Advanced.
3. Click on Check Update button.
4. Download the available update.Panel will got updated.","How to Update VoIP Admin Panel to Latest Version","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Network --> Network Interface
3. Add the entry with IP address, Subnet mask and the Gateway.
4. Click on Update.","How to Add Network Interface in Admin Panel","IPBX / VoIP","1.1.7"
"1.Open your browser and enter the following URL:
https://firewall ip/nebtree

example,  https://201.23.23.41/nebtree
If you are logging in from the local network, you can use the firewall’s private IP as well.
Example: https://192.168.1.1/nebtree

2.After the page loads, enter your username and password to sign in.
","How to login to the front admin panel of firewall","Firewall","11"
"1. Login to Admin Panel.
2. Navigate to Network --> Domain
3. Add the domain in this section.
Note: This step is very important for the configuration of  IP Phones or Soft Phones. Without domain name it is not possible.","How to add Domain in Admin Panel","IPBX / VoIP","1.1.7"
"1. Login as an Admin
2. Navigate to Concurrent Stats --> Dashboard.
3. Click on Ongoing Calls.
4. Live ongoing calls are shown with call barge and hang up option.","From where to show Ongoing Live Calls","IPBX / VoIP","1.1.7"
"1. Login to the Admin Panel.
2. Navigate to Concurrent Stats --> Dashboard.
3. Click on Agents Monitor Option.
4. Agents status will be shown e.g. who is login or not.","How to check if my agents are logged in","IPBX / VoIP","1.1.7"
"1. Login as an Admin of Nexbro VoIP.
2. Navigate to Concurrent Stats → Dashboard.
3. Click on Server Health.
4. View the live status of Freeswitch,Database, calling server, disk usage, memory usage, CPU load, and other system metrics.","Where can I check server performance","IPBX / VoIP","1.1.7"
"1: Open the Nebero Admin Panel.

2: On the left side, scroll down and click on “Reports.”

3: Under Reports, you will see “User Report.” Click on it.

4: A page will open with three fields:

Username

Date From

Date To

5: Fill these fields according to which user’s data and date range you want to check.

6: After entering all details, on the right side you will see the “Fetch” button.
Click Fetch to generate the report.

7: The report will now appear. It will show complete details such as:

Username

Name

IP

MAC

Download

Upload

Login Time

Logout Time

Login Duration

8: At the bottom, you will see an Import/Export option.
You can export the report as a CSV file and view it separately.","How to Generate a User-Wise Report (Data Usage & Activity) in Nebero","Firewall","11"
"1. Login as an Admin.
2. Navigate to Accounts → Users.
3. View the list of all users who can access the Nexbro Admin Panel.
4. To create a new user, click Add User.
5. Choose Single User Creation to manually enter details.
6. Choose Bulk User Creation to upload a CSV file for creating multiple users at once.
7. Assign the appropriate role.
8. Click on Add User","Where can I see all users who have access to the Nexbro Admin Panel","IPBX / VoIP","1.1.7"
"View All Agents
1. Login as an Admin.
2. Navigate to Accounts  → Agents.
The full list of agents for the Agent Panel will be displayed.

Add a New Agent
Single Creation:
1. Go to  Accounts → Agents → Add Agent.
2. Enter agent details.
3. Click Add Agent.

Bulk Creation:
1. Go to Account→ Agents → Bulk Upload.
2. Upload the CSV file with agent details.
3. Click Upload to create agents in bulk.","Where can I view all agents who have access to the Nexbro Agent Panel, and how can I add new agents.","IPBX / VoIP","1.1.7"
"Steps to View Extensions:
1. Login as an Admin.
2. Navigate to Accounts --> Extensions in the left menu.
The list of all existing extensions will be displayed.

Steps to Create a Single Extension:
1. Go to Extensions.
2. Click Add New.
3. Enter extension details (number, password,name etc.).
4. Click Create Extensions Button.

Bulk Extension Creation (Range Method):
1. Go to Extensions → Bulk Create Option.
2. Enter:
Start Range
End Range
Password Type (e.g., same as extension or random).
3. Click Create Extensions button.Extensions with the defined range will be created.

Bulk Extension Upload (CSV Method):
1. Go to Extensions → CSV.
2. Download the sample CSV.
3. Fill extension number, name, password, and other details.
4. Upload the CSV file.
5. System creates all extensions included in the file.

","Where to check all available extensions, and how to create a new extension.","IPBX / VoIP","1.1.7"
"Click on the first option “Dashboard.”

On the Dashboard, you will see the “Live Users” section.

Click on “Live Users.”

A list of all currently active users will appear—
these are the users who are using the internet right now.","How to Check Live Users in Nebero","Firewall","11"
"Please log in to the firewall and go to the Dashboard → Live Users section.
Search for the user Diksha there. It will show her IP address, login time, current session, and her total download/upload usage.","Please check i have a user in firewall whos name Diksha , she is web based user. please check and confirm she is login at which Ip address","Firewall","11"
"Open the Nebero Admin Panel.

Click on “User.”

Then click on “User List.”

Here you will see all the users.

Select the user for whom you want to change the plan or policy.

On the right side, you will see “Set Plan” and “Set Policy.”
From here, you can change the user’s plan and policy.","How to Change Plan and Policy in Nebero","Firewall","11"
"Please log in to the Mail Server Admin Panel and follow the steps:

Go to Mail Groups and open the group help@nebero.com In the permissions section, set “Who can send mail to this group” as per requirement.
You can choose from: Anyone, All domain users, All group members, or Selected senders.Additionally, go to Spamfilter → Whitelist / Blacklist.
From here you can whitelist or blacklist specific email addresses or domains for a specific mail user or for the entire domain.
For example, you can block mrcool9780@gmail.com from this section.","Someone is repeatedly sending emails from mrcool9780@gmail.com to our group email ID help@nebero.com.I want to ensure that next time he should not be able to send emails to help@nebero.com or to any other email addresses of my company.","Mail Server","3.9.0"
"1: Open the Nebero Admin Panel.

2: Go to Dashboard.

3: Click on Live Users.

4: In the list, you will see IP and Username columns.
Enter the user’s IP or Username to find the user.

5: On the right side, you will see a Settings option.
Click on Settings.

6: A panel will open showing:

IP

Download Speed

Upload Speed

Priority

7: In the Priority section, the default value is Normal.

8: Click on Normal — you will get the following options:

Highest

High

Low

Lowest

9: Select the appropriate option based on how much speed you want to give the user.","How to Increase Speed for a Specific User in Nebero","Firewall","11"
"GRANDSTREAM GRP2601P – CONFIGURATION STEPS

Connect the LAN cable to the phone (LAN/PoE port).
If PoE is not available, connect the power adapter.

Find phone IP address:
Menu → Status → Network Status → IPv4 Address

Open phone web panel:
Enter the IP in browser: http://<Phone_IP>
Login:
Username: admin
Password: (printed on sticker at back of phone)

Configure SIP Account:
Go to: Accounts → Account 1 → General Settings
Fill the following:

Account Name: <Your Name / Extension>

SIP Server: <IPPBX Server IP or Domain>

SIP User ID: <Extension Number>

Authenticate ID: <Extension Number>

Password: <Extension Password>

Save & Apply:
Click Save → Apply
Phone will reboot and show Registered if successful.
","Just purchased a Grandstream IP Phone GRP2601P.
Please guide me on how to configure it.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Go to Accounts → Account Section → Agent Breaks.
3. Click Add New.
4. Enter Break Name (e.g., Lunch, Tea Break, Short Break).
5. Select Break Type:
      Short Break
      Long Break
6. Define the Break Duration and Click on Add Break to apply.
","How can I set up the break types that agents will see in their Nexbro Agent Panel.","IPBX / VoIP","1.1.7"
"1. Login as Admin.
2. Go to Applications Menu -->  Recordings in the left navigation.
3. View the list of all uploaded audio files used in IVR, Queues, and Extensions.
4. Click Add Recording to upload a new file.
5. Select Upload File, choose the audio file, and save.","Where can I manage all system audio recordings in Nexbro, and what are the steps to upload a new recording","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Applications Menu → Queues.
3. View the list of all configured queues.
4. Click Add New to create a new queue.
5. Enter queue details (name, extension number,strategy, timeout, agents, music, etc.).
6. Click Add Queue to apply the configuration.","Where can I view all queues in Nexbro, and what are the steps to create a new queue.","IPBX / VoIP","1.1.7"
"1. Log in as Admin.
2. Go to Applications Menu --> IVR Option.
3. Click Add IVR.
4. Enter IVR name and basic details.
5. Upload/select the IVR audio prompt.
6. Define key options (0–9) and map them to actions (queue, extension, voicemail, etc.).
7. Save the IVR.","Where can I configure IVR menus in Nexbro, and what are the steps to create a new IVR.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Applications → Ring Group.
3. View the full list of existing ring groups.
4. Click Add New to create a ring group.
5. Enter the Ring Group Name, Extension, and Ring Strategy (e.g., ring-all, sequential etc).
6. Add the extensions that should ring under this group.
7. Configure optional settings (timeout, failover destination, etc.).
8. Click Add to create the ring group.","Where can I manage ring groups in Nexbro, and how do I create a new ring group.","IPBX / VoIP","1.1.7"
"Single Caller ID Creation:
1. Log in to the Admin Panel.
2. Go to Applications → Caller ID Numbers.
3. View the list of all existing Caller ID numbers.
4. Click Add New to create a new Caller ID.
5. Enter the Caller ID number and required details.
6. Click Save to apply the changes.

Add Caller IDs in Bulk (CSV Upload).
1. Click Bulk Upload.
2. Download the CSV template.
3. Fill the file with multiple Caller ID numbers.
4. Upload the completed CSV.
5. Click Upload to create all Caller IDs at once.","Where to manage Caller ID numbers in Nexbro, and what’s the process to add a new Caller ID.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Go to Campaigns from the main menu.
3. Click Add New Campaign.
4. Enter campaign details (name, type, purpose,gateway, validity etc).
5. Click on Add Campaigns.
6. Click Create Form to set up a form for collecting caller information.
7. Click on Save and Exit.","How do I set up a new calling campaign in Nexbro and manage the existing ones.","IPBX / VoIP","1.1.7"
"1. Log in to the Admin Panel.
2. Go to Call Routing → Inbound Routes.
3. Click Add New to create a route, or use Edit to modify an existing one.
4. Enter the Caller ID Number that callers dial in the Destination Number Section.
5. Choose the Application Type (IVR, Queue, Extension, Ring Group, Recording, etc.).
6. Choose the option to Record or not.
6. Click Add to activate the inbound route.","I want to control how incoming calls reach different departments—how do I set up or modify an Inbound Route in Nexbro.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Advanced → Call Routing → Outbound Routes.
3. Click Add Outbound Route.
4. Enter the Route Name.
5. Define the prefix number that should be automatically added before placing an outgoing call.
6. Select the Gateway.
7. Set any optional route preferences (remove prefix, prefix).
8. Click on Add.1.","How can I manage outgoing call routing in Nexbro and set which gateway my calls should use.","IPBX / VoIP","1.1.7"
"1. Log in to the Admin Panel.
2. Go to Advanced → Roles & Permissions section.
3. Under Roles, create or edit a role and Submit.
4. Open the created role, and assign permissions by checking the required permission boxes.
5. Save the changes to apply updated access controls.","Where to add and manage User/Agent Roles and Permissions in Nexbro Admin Panel.","IPBX / VoIP","1.1.7"
"Steps to Configure Backup Destinations:
1. Login as Admin.
2. Navigate to Backups → Destinations.
3. Click Add New Destination and Select Destination Type(FTP, SSH Password, SSH Key).
4. Enter the server credentials (IP/Domain, Username, Password, Path).
5. Click Save to store the backup destination.

Steps to Configure Backup Jobs:
1. Go to Backup →  Jobs → Create Job.
2. Click Add New to Create Job.
3. Select Backup Data → choose Data, Config, and/or Logs.
4. Choose Destination Name → pick the server added in Backup Destinations.
5. Set Backup Frequency → e.g., Weekly.
6. Select Week Days → choose the day backups will run.
7. Set Backup At → choose the exact time (e.g., 11:02 AM).
8. Enable Notify At → turn on notifications for backup status.
9. Click Save to create the scheduled backup job.","How can I set up backup destinations and schedule automatic backups in Nexbro.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Go to Advanced → Backup → Restore.
3. Select a method:
          Via ZIP File: Upload backup ZIP from local system.
          Via FTP: Download backup from configured FTP destination.
          Via URL: Enter URL to download backup ZIP.
4. Click Upload / Restore.
5. Confirm and wait for restoration to complete.","How can I restore my Nexbro data, logs, or configurations from a previous backup.","IPBX / VoIP","1.1.7"
"1. Login as Admin.
2. Navigate to Applications --> Campaigns.
3. Open the Agent's Associated Campaign.
4. Increase the Time Duration defined in WrapUp Duration option.
5. After this the form will auto submit within the defined duration.","Agents form gets submitted very fast. How to increase time for it.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts ---> Extensions.
3. Click Edit on the required Extension Number.
4. Go to Forwarding Section.
5. Confirm that correct mobile number is defined in the Forward all calls destination option.
6. Click on Update
Note: Make sure that Domestic is selected in Toll Allow option.","Call is not get Forwarded to my mobile number.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Accounts ---> Extensions.
3. Click Edit on the required Extension Number.
4. Go to Forwarding Section.
5. Confirm that correct mobile number/Extension Number is defined in the Forward busy destination option.
6. Click on Update.
Note: Make sure that Domestic is selected in Toll Allow option.","Call is not get forwarded on extension busy.","IPBX / VoIP","1.1.7"
"1.  Open the Nebero Admin Panel.

2. Look on the right side of the dashboard.
You will see the status of ISP1, ISP2, and ISP3.

3. Move your cursor over any ISP.
A status message will appear automatically.

4. Check the status message:

If it shows “ISP is working”, the connection is active.

If it shows “ISP is not working”, the connection is down.

If the ISP is not configured, it will display “ISP not configured.”","How to Check if the ISP is Working or Not","Firewall","11"
"1. Check and Confirm the IP-PBX Exchange IP Address.
2. Open the Command Terminal in your PC.
3. SSH to root with IP Address and Port Address.
Example: ssh root@192.168.x.x.  -p650
4. Fill out the Backend password.
5. Now write the sngrep.
6. A real-time call monitoring window will open, displaying all ongoing and received calls along with detailed call information.
","How can I view real-time call activity and live call logs from the backend in Nexbro IP-PBX","IPBX / VoIP","1.1.7"
"1. Open the Nebero Admin Panel
First, open the Nebero portal using the firewall IP in your browser (for example: http://<firewall-IP>).

2. Go to the Settings Section
On the left side menu, scroll down and click Settings.

3. Open the VLANs Option
Inside Settings, you will see VLANs. Click on it.

4. Click on Add VLAN
On the right-side corner, you will see the Add button. Click on it.

5. A New VLAN Interface Window Will Open
Here you will configure the VLAN details.

6. Select Network, Subnet & VLAN Type

Under VLAN Type, you will see two options: Via IP and Local.
Select Local.

7. Choose the Local Network

You will see Office Network and Guest Network.
Keep Office Network selected.

8. Configure Tagged/Untagged

In the Tagged option, change it to Untagged.

9. Enter the VLAN ID

Type the VLAN ID you want to create (example: 10, 20, 30).

10. Save the Configuration

Click Save or Add to complete the VLAN creation.

11. Your VLAN Will Now Be Added

After saving, the new VLAN will appear in the VLAN list.","How to Add a VLAN in Nebero ","Firewall","11"
"1. Open the Nebero Admin Panel
Login using your firewall IP in the browser.

2. Go to Admin Settings
Scroll down on the left menu.
You will see an option called Admin Settings. Click on it.

3. Open the Users Section
Inside Admin Settings, click on Users.

4. Click on Add User
On the right side, you will see the Add User button. Click it.

5. A New User Form Will Open
You will now see fields to enter user details.

6. Fill in the Required Details

First Name
Last Name
Username
Password

7. Choose the Role
Under Role, you will see three options:

Admin
Reception
Account
Select the role based on the permissions you want to give to the user.

8. Optional Fields

Email

Phone number
These are optional.

9. Save the User
Click Save or Add to create the user.

10. Login With the New User
The new user can now log in to the Nebero admin panel using the username and password you create","How to Add an Admin User in Nebero","Firewall","11"
"'-- Remove single IP bypass
iptables -D FORWARD -s 192.168.4.25 -j ACCEPT
iptables -D FORWARD -d 192.168.4.25 -j ACCEPT
iptables -t nat -D PREROUTING -d 192.168.4.25 -j ACCEPT
iptables -t nat -D PREROUTING -s 192.168.4.25 -j ACCEPT

# Remove entire network (/24) bypass
iptables -D FORWARD -s 192.168.4.0/24 -j ACCEPT
iptables -D FORWARD -d 192.168.4.0/24 -j ACCEPT
iptables -t nat -D PREROUTING -d 192.168.4.0/24 -j ACCEPT
iptables -t nat -D PREROUTING -s 192.168.4.0/24 -j ACCEPT
","How to remove IPTABLES BYPASS RULES ","Firewall","11"
"1. Login as an Admin.
2. Navigate to Applications ---> Campaigns.
3. Open the bulk-calling Outgoing Campaign by clicking the view (eye) icon on the right side of the campaign.
4. Restart the outbound calling process.
5. Re-upload the CSV file and ensure that the data formatting strictly matches the structure of the sample file you downloaded.
6. Re-check the CSV file to ensure no fields are missing or incorrectly formatted.","Why are calls not getting generated after uploading the bulk calling CSV file.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Applications ---> Campaigns
3. Open the Outgoing Campaign for bulk calling.
4. Click on the eye button icon from right.
5. Open the Control Options and Stop the process.
6. Calls will be get stopped.
Note: If the Agent assigned for bulk calling logout the calling process get stopped automatically.","From where i can stop the bulk calling process.","IPBX / VoIP","1.1.7"
"1. Login as an Admin.
2. Navigate to Reports Section.
3. Click on User Activity Logs.
4. From User option select the user and Click on Filter Button.
5. User all logs will be shown with all due details.","Where can I check the logs for a specific user in Nexbro.","IPBX / VoIP","1.1.7"
"Steps to Configure Mail Forwarding

1.Log in to the mail server admin panel.

2.Navigate to Monitor → Forward.

3.Click on the “Create” icon.

4.Under User*, select the email ID for which you want to configure forwarding.

6.In Incoming To*, enter the email address where all incoming mails should be forwarded.

7.In Outgoing To*, enter the email address where all outgoing mails should be forwarded.

8.Click Create to save the settings.

Note:
You can configure forwarding for a single email ID or for the entire domain. Select the appropriate option based on your requirement.
","How to Set forwarding on mail server.","Mail Server","3.9.0"
